id,intent,difficulty,language,question,retrieved_context_count,bean_count,news_count,elapsed_s,context_precision,context_recall,response,reference,error
PS_001,product_search,easy,vi,Gợi ý cho tôi một loại cà phê medium roast từ Colombia có hương vị chocolate và hạt dẻ.,12,10,2,19.6,0.31041666665890627,0.25,,"Dựa trên knowledge base, có nhiều loại cà phê Colombia medium roast nổi bật với profile chocolate và nutty. Các vùng trồng phổ biến gồm Huila, Nariño, Tolima và Cauca. Hương vị thường gặp: Milk Chocolate, Dark Chocolate, Almond, Hazelnut, Caramel kèm acidity cân bằng và hậu vị ngọt. Đa số được xử lý Washed, giúp giữ được độ sạch của cup và làm nổi bật nốt cacao–hạt dẻ đặc trưng của Colombia.",
PS_002,product_search,easy,vi,Tìm giúp tôi cà phê Ethiopia rang nhạt có vị hoa và trái cây.,12,10,2,18.6,0.9406172110632054,0.75,,"Cà phê Ethiopia light roast rất nổi tiếng với profile floral – fruity. Các vùng Yirgacheffe, Sidama, Guji thường cho ra cà phê có nốt Jasmine, Bergamot, Citrus, Peach, Berry. Washed Ethiopian light roast thiên về floral, citrus, trà đen; còn Natural lại đậm berry, wine-like và stone fruit. Đây là lựa chọn phổ biến cho người yêu cà phê có acidity sáng và hương thơm phức.",
PS_003,product_search,medium,vi,"Tôi muốn một loại cà phê Natural process từ Brazil, rang medium, phù hợp pha espresso.",12,10,2,18.8,0.99999999999,1.0,,"Brazil Natural medium roast là lựa chọn kinh điển cho espresso. Các vùng như Cerrado Mineiro, Sul de Minas, Mogiana cho ra cà phê body dày, ngọt như chocolate đen, hạt, caramel, đôi khi có nốt trái cây vàng (yellow fruit). Natural processing ở độ cao vừa phải của Brazil giúp cà phê ít acid, hậu vị dài, rất hợp làm base cho espresso hoặc milk-based drinks.",
PS_004,product_search,medium,vi,Gợi ý cà phê Geisha Panama rang light có vị hoa nhài.,12,10,2,19.7,0.8114558281134786,0.0,,"Geisha Panama là một trong những giống cà phê đắt và được săn đón nhất thế giới. Khi rang light, đặc biệt từ vùng Boquete hoặc Volcán, cà phê nổi bật với hương Jasmine rõ rệt, kèm Bergamot, Peach, Citrus, black tea. Washed Geisha Panama light roast thường cho cup sạch, floral mạnh, acidity sáng và hậu vị dài. Natural Geisha Panama sẽ thêm nốt berry và wine.",
PS_005,product_search,easy,en,Recommend a dark roast coffee from Indonesia with earthy and smoky notes.,12,10,2,20.7,0.9206845237980152,1.0,,"Indonesian dark roast coffees, particularly from Sumatra (Mandheling, Gayo) and Sulawesi (Toraja), are well-known for earthy, smoky, herbal, and full-bodied profiles. The Wet-Hulled (Giling Basah) processing unique to Indonesia contributes to the characteristic low acidity, heavy body, and earthy/cedar/tobacco notes. Dark roast intensifies these qualities, adding smoky, dark chocolate, and molasses flavors.",
PS_006,product_search,medium,en,"I want a washed Kenyan coffee with bright citrus and berry flavor, medium light roast.",12,10,2,23.0,0.9282627865858059,1.0,,"Washed Kenyan coffees at medium-light roast are prized for their vibrant, juicy profile. Typical flavor notes include Blackcurrant, Grapefruit, Lemon, Tomato, Red Berry, and bright, wine-like acidity. Classic cultivars are SL-28 and SL-34, grown in Nyeri, Kirinyaga, and Kiambu regions. The Washed process (often double-washed in Kenya) enhances clarity and acidity, making these coffees excellent for filter brewing.",
PS_007,product_search,easy,vi,"Cho tôi cà phê Việt Nam rang medium dark, vị caramel và chocolate đen.",12,10,2,20.5,0.5954957740586956,0.75,,"Cà phê specialty Việt Nam rang medium dark với profile caramel và dark chocolate đang ngày càng phổ biến. Các vùng Cư M'Gar, M'Drak, Lâm Đồng, Sơn La cho ra nhiều sản phẩm nổi bật. Arabica Việt Nam medium dark thường có Dark Chocolate, Caramelized Sugar, Roasted Nut, Creamy body. Một số sản phẩm processing Mosto Natural hoặc Natural còn thêm nốt trái cây chín và rượu nhẹ.",
PS_008,product_search,medium,vi,"Tìm cà phê Costa Rica Honey process rang medium light, hợp pha filter.",12,10,2,23.8,0.9263455988363353,0.75,,"Costa Rica là một trong những nước tiên phong về Honey processing với các biến thể Yellow, Red, Black Honey. Ở medium light roast, các sản phẩm này thường có profile Honey, Brown Sugar, Stone Fruit, Orange, Red Apple, acidity sáng vừa và body medium. Vùng Tarrazú, West Valley, Central Valley nổi bật nhất. Đây là lựa chọn lý tưởng cho các phương pháp filter như V60, Kalita, Chemex.",
PS_009,product_search,hard,vi,"Tôi muốn cà phê Anaerobic Fermentation từ Guatemala hoặc Colombia, có nốt wine và tropical, rang light.",12,10,2,22.7,0.49999999998333333,0.6666666666666666,,"Anaerobic Fermentation là kỹ thuật cho cà phê lên men trong môi trường yếm khí, tạo ra profile độc đáo với nốt Wine, Tropical Fruit, Exotic. Từ Guatemala (Huehuetenango, Antigua) và Colombia (Huila, Tolima, Cauca), các sản phẩm Anaerobic light roast thường có Pineapple, Lychee, Red Wine, Cherry, Passion Fruit, funky fermentation character. Đây là nhóm sản phẩm thử nghiệm cao cấp, sản lượng nhỏ, giá thường cao hơn.",
PS_010,product_search,easy,en,"Suggest a coffee with floral and jasmine notes, light roast, for pour-over brewing.",12,10,2,19.2,0.0,1.0,,"Light roast coffees with prominent floral and jasmine notes are typically found among Ethiopian Yirgacheffe (Washed), Panama Geisha (Washed), and some high-altitude Kenyan and Rwandan coffees. For pour-over brewing (V60, Kalita, Chemex), these origins shine because the method highlights clarity, acidity, and aromatic complexity. Expect Jasmine, Bergamot, Lemon, White Tea, and Honey notes.",
